"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRDX1|5052",0.868558620421658,8.70154608826172,5.13077526318516,5.13467309616595e-07,0.000400966622079599,5.87500275418285
"NAMPT|10135",1.48411098035637,7.10819253907993,5.05663937690974,7.36393461638627e-07,0.000547666337327242,5.51106771012446
"PANX2|56666",3.12252093802181,2.53973237329783,5.03477522893792,8.18378278879391e-07,0.000580974179979015,5.47814239852232
"ASPH|444",1.09712655290673,7.4073840064591,4.99907742852084,9.71562465414895e-07,0.000659733155863036,5.25160738132848
"CYP4F11|57834",4.6501403349473,2.78663430603232,4.9860372408744,1.03416018908104e-06,0.000672979743044484,5.27712723118443
"ABCC1|4363",1.52125363721122,7.35855775780573,4.96588372360995,1.1386442237913e-06,0.000707117789632042,5.1009123064119
"TDP2|51567",0.855704765157045,5.13933553095079,4.95890111662373,1.17717137472359e-06,0.000707117789632042,5.09812649182181
"NQO1|1728",2.31515467739762,6.51808772813033,4.85306950864566,1.94052850061302e-06,0.00109727309482421,4.59266692262806
"AKR1C3|8644",3.63859671034684,5.11052594632002,4.8501544121385,1.96719468914573e-06,0.00109727309482421,4.61554756785251
"TRIM16L|147166",2.13900544769961,4.19233417496122,4.82361656453008,2.22678513301184e-06,0.00119923897266824,4.54665242548673
"AKR1C1|1645",3.82820988857011,6.03516126499025,4.81156735364209,2.35528188181725e-06,0.00122615974767406,4.41495816763169
"JAKMIP3|282973",3.32698615438252,-1.80511478546298,4.73441143626635,3.3644885893082e-06,0.00169505105767147,3.30695096636928
"SPIN4|139886",-1.99162435329497,3.36862444944037,-4.67098210711274,4.49530008385199e-06,0.00219398739717501,3.92916582448786
"GCLM|2730",1.74216987315555,4.7344056496478,4.64267896056581,5.11065518906662e-06,0.00241873371948007,3.73853496995667
"ANXA10|11199",3.96842405626451,-3.15015423327208,4.58988735470675,6.48164037794246e-06,0.00289024943589271,2.25394374698585
"BLVRB|645",1.07047490589396,5.73430723257294,4.58583513164734,6.60037151308908e-06,0.00289024943589271,3.45173980062167
"CBR1|873",1.28830819242347,7.0020659602326,4.58375533247243,6.66211932975654e-06,0.00289024943589271,3.43064085532421
"ZNF100|163227",-1.44835830668543,1.62297092794143,-4.55520347824427,7.56801902942596e-06,0.00313400639347243,3.4117117743474
"GSTM4|2948",1.94127810858335,3.86276418917619,4.55350981392149,7.62531969214704e-06,0.00313400639347243,3.41846724721739
"TSPAN7|7102",2.70875628820352,3.95399492058602,4.54506332635049,7.91736338634347e-06,0.00317059952225416,3.3782090882577
"PRDX6|9588",0.731913856946591,7.51951707160038,4.49968696641184,9.67956984455492e-06,0.00377938804580647,3.08546765226105
"FTHL3|2498",1.01559282011066,5.13041489370055,4.49295829100109,9.97099407651848e-06,0.00379821915822111,3.09023226152442
"GSR|2936",1.58632744325402,5.55306326440023,4.45507190347068,1.17757148291706e-05,0.00437888367147585,2.9147037581418
"C1orf183|55924",-1.09623859859539,2.05082136396261,-4.39556372835491,1.52574946399543e-05,0.00538904588853523,2.81092969885969
"ABCC3|8714",1.94705740498575,4.15009183906121,4.39464501555939,1.531829844905e-05,0.00538904588853523,2.75273404534004
"SLC7A11|23657",2.95510314892429,4.45884288153942,4.39151192751076,1.55274084379617e-05,0.00538904588853523,2.71848544752738
"STC2|8614",1.88779423223003,4.29507730644247,4.38304361590489,1.61063779868075e-05,0.00541999844975375,2.69594306537351
"ETFB|2109",1.2000926566821,6.05999530627609,4.37863769565926,1.64157275561699e-05,0.00541999844975375,2.58795352001781
"SEPT5|5413",1.64629578738095,4.50284957572464,4.37271161959159,1.68407958741153e-05,0.00541999844975375,2.63985926655902
"ZNF559|84527",-1.12118008833324,2.61958874798502,-4.37046429555152,1.70047332589278e-05,0.00541999844975375,2.72371361938229
"AKR1B10|57016",3.56484295417691,6.31804124499668,4.35898522506675,1.78662264362471e-05,0.00558069448962614,2.50458932372025
"GSTM3|2947",2.96359998582522,4.20770195535157,4.34063080375333,1.93311347070245e-05,0.00583533456768307,2.53272083529631
"ABCB6|10058",1.32091310144925,5.06039091199113,4.33945617531521,1.94286974977282e-05,0.00583533456768307,2.47043543420009
