"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"QPRT|23475",-3.2215391803498,3.43051867112847,-4.03596733897205,0.000106063767084799,0.0115689968290564,1.04289902071316
"MARCH7|64844",0.810885378425232,6.27980355902311,4.02061266631883,0.000112194735201144,0.0121539173420636,0.72501671023263
"RGS16|6004",-2.04629922011831,5.09635586971885,-4.01420797587947,0.00011485109079836,0.0122939937618392,0.77844830562556
"TLE1|7088",-2.00256558542288,4.87991112243127,-4.0121786401499,0.000115705245921026,0.0122939937618392,0.793698108242577
"ADAM17|6868",1.13431669094272,5.63074408024696,4.01190770166662,0.000115819743962699,0.0122939937618392,0.726281694106474
"LRRC8A|56262",1.47641257351219,6.78957322617106,3.99745295760004,0.000122087991034328,0.0128729577746595,0.634644604880452
"ZNF763|284390",-2.14251436704708,0.907470362276993,-3.98788546244544,0.000126414031323057,0.013240823307321,0.967233245868367
"DLG4|1742",-1.82010141056216,3.16892441459142,-3.98151069973586,0.000129377427384225,0.0133466341270412,0.885292984596949
"ZNF287|57336",-1.56009025787561,2.12857881214603,-3.98046299132957,0.000129870782259528,0.0133466341270412,0.943254368810608
"PBX4|80714",-2.11589906962554,0.924656719744357,-3.98028273197298,0.000129955845698302,0.0133466341270412,0.943528984037197
"WNT9A|7483",2.6232977974934,-0.650808602909614,3.96873935027393,0.000135515456688816,0.0138104252481553,0.811702349975791
"ACAA2|10449",-2.26864129113349,5.1872342526041,-3.96731270087021,0.000136218154951456,0.0138104252481553,0.609803977520714
"GABRQ|55879",4.68940456686343,-2.81241889319824,3.95702066767008,0.000141391710545729,0.0141542567843903,0.482147477475927
"TNPO1|3842",0.854403927907705,6.86717335649342,3.95700568208409,0.000141399378599751,0.0141542567843903,0.495493869275504
"ZNF883|169834",-3.27932262786551,1.89390751170757,-3.9532327758441,0.000143342656598937,0.0142585374639546,0.860374444393248
"PLIN2|123",-2.12754850964855,6.01886522355352,-3.94433017146816,0.000148029720586954,0.0146327378800204,0.473808277669496
"PAG1|55824",-1.77487148548803,4.29943443881622,-3.93872304709452,0.000151056553862995,0.0148391953782431,0.612739597807327
"ZNF610|162963",-2.71724598407413,1.02040609615429,-3.93680296253772,0.000152106576084578,0.0148501086873685,0.807894337571939
"SUSD1|64420",-1.4195757282058,3.91178424879298,-3.92881403460545,0.00015655075474263,0.015190225380426,0.627925714090299
"MGAT4A|11320",-2.10594729649294,4.88711417048633,-3.9221189421621,0.000160370442179971,0.0154659689848684,0.487337737152485
"NFE2L2|4780",1.08731237572163,7.23482708560605,3.91468228520644,0.00016471750899569,0.0157889219531869,0.349617808255527
"CLDN8|9073",4.90867525515901,-1.81261236107324,3.9113603772811,0.000166695462066465,0.0158822616147181,0.509146830047251
"APBB1|322",-2.34123445512445,3.11537414514729,-3.89797960873728,0.00017489475117199,0.0165636849373424,0.613998494636534
"ZNF675|171392",-2.00385144144759,2.98997938635179,-3.89417433160204,0.000177295909653548,0.0166911434945269,0.612640298853982
"GBP6|163351",5.17897804271066,1.49250126343764,3.88673864881631,0.00018207897590543,0.0170018665052997,0.65248420409129
"PALM2-AKAP2|445815",-1.9694027878875,4.86642830337628,-3.88571590862311,0.000182746415395861,0.0170018665052997,0.367551105235691
"DDAH2|23564",-1.58395063475663,5.44547964370168,-3.868475251251,0.000194355128579796,0.0179761445240822,0.254225200270123
"ZNF808|388558",-1.16637209470444,3.03010932355518,-3.85895726729632,0.000201061809886386,0.0183652105122651,0.494316375041095
